datetime,index_code,con_code,weight
20061204,399300.SZ,000157.SZ,0.31
20061204,399300.SZ,000652.SZ,0.27
20061204,399300.SZ,600011.SH,0.27
20061204,399300.SZ,600361.SH,0.27
20061204,399300.SZ,000630.SZ,0.27
20061204,399300.SZ,000778.SZ,0.26
20061204,399300.SZ,600631.SH,0.26
20061204,399300.SZ,600188.SH,0.27
20061204,399300.SZ,600271.SH,0.26
20061204,399300.SZ,600601.SH,0.25
20061204,399300.SZ,600004.SH,0.25
20061204,399300.SZ,600308.SH,0.25
20061204,399300.SZ,600085.SH,0.25
20061204,399300.SZ,600428.SH,0.24
20061204,399300.SZ,600663.SH,0.24
20061204,399300.SZ,600895.SH,0.26
20061204,399300.SZ,600183.SH,0.27
20061204,399300.SZ,600500.SH,0.28
20061204,399300.SZ,000562.SZ,0.28
20061204,399300.SZ,600649.SH,0.3
20061204,399300.SZ,000932.SZ,0.3
20061204,399300.SZ,000878.SZ,0.3
20061204,399300.SZ,600415.SH,0.3
20061204,399300.SZ,000538.SZ,0.3
20061204,399300.SZ,000528.SZ,0.29
20061204,399300.SZ,600675.SH,0.29
20061204,399300.SZ,600089.SH,0.29
20061204,399300.SZ,000623.SZ,0.29
20061204,399300.SZ,600868.SH,0.29
20061204,399300.SZ,000930.SZ,0.29
20061204,399300.SZ,000503.SZ,0.29
20061204,399300.SZ,600653.SH,0.29
20061204,399300.SZ,600100.SH,0.29
20061204,399300.SZ,600739.SH,0.29
20061204,399300.SZ,000031.SZ,0.24
20061204,399300.SZ,600418.SH,0.24
20061204,399300.SZ,600123.SH,0.24
20061204,399300.SZ,600362.SH,0.24
20061204,399300.SZ,600132.SH,0.21
20061204,399300.SZ,600296.SH,0.21
20061204,399300.SZ,600299.SH,0.21
20061204,399300.SZ,600022.SH,0.21
20061204,399300.SZ,600809.SH,0.21
20061204,399300.SZ,000625.SZ,0.21
20061204,399300.SZ,000800.SZ,0.21
20061204,399300.SZ,600835.SH,0.21
20061204,399300.SZ,600151.SH,0.21
20061204,399300.SZ,600270.SH,0.21
20061204,399300.SZ,600718.SH,0.2
